actorid,name,date_of_birth,birth_city,birth_country,height_inches,biography,gender,ethnicity,networth
1225,Arabella Field,1965-02-05,New York City,USA,,"Arabella Field was born on February 5, 1965 in New York City, New York, USA. She is an actress and producer, known for House (2004), American Horror Story (2011) and Seinfeld (1989). She was previously married to Brian Gerber.",,,
1818,Arjay Smith,1983-11-27,Redlands,USA,61,"Arjay Smith is an American actor, born in Southern California, who began his career in the summer of 1993 at the age of 9. A chameleon by nature, Arjay Smith continues to embrace new characters from drama to comedy. In 2014 he stunned audiences in his recurring role as Grant McQueen on the 7th and final season of Sons of Anarchy (2008). In (2017) ...",,,800000
1067,Arliss Howard,1954-10-18,Independence,USA,69,"Arliss Howard was born on October 18, 1954 in Independence, Missouri, USA as Leslie Richard Howard. He is an actor and director, known for Full Metal Jacket (1987), The Lost World: Jurassic Park (1997) and The Time Traveler's Wife (2009). He has been married to Debra Winger since November 28, 1996. They have one child. He was previously married to...",,,16000000
174,Arnold Schwarzenegger,1947-07-30,Thal,Austria,74,"With an almost unpronounceable surname and a thick Austrian accent, who would have ever believed that a brash, quick talking bodybuilder from a small European village would become one of Hollywood's biggest stars, marry into the prestigious Kennedy family, amass a fortune via shrewd investments and one day be the Governor of California!? The ...",Male,White,
1313,Arnold Vosloo,1962-06-16,Pretoria,South Africa,73,"Arnold Vosloo was born in Pretoria, South Africa, to stage actor parents, Johanna Petronella Vorster and Johannes J. Daniel Vosloo. He is an Afrikaaner (of mostly Dutch, as well as German, Swiss-German, Danish, and French, descent). Vosloo quickly established a fine reputation as an actor in his native South Africa, winning several awards there for...",,,4000000
1830,Aron Warner,1961-03-25,,,,"Aron Warner is a producer and actor, known for Shrek the Third (2007), Shrek 2 (2004) and Shrek (2001).",Male,,8000000
304,Art Evans,1942-03-27,Berkeley,USA,,"Art Evans was born on March 27, 1942 in Berkeley, California, USA as Arthur James Evans. He is an actor, known for Die Hard 2 (1990), Fright Night (1985) and Interstate 60: Episodes of the Road (2002). He is married to Babe.",Male,,
790,Art Malik,1952-11-13,Bahawalpur,Pakistan,72,"Art Malik was born on November 13, 1952 in Bahawalpur, Pakistan as Athar Ul-Haque Malik. He is an actor and producer, known for The Living Daylights (1987), True Lies (1994) and The Wolfman (2010). He has been married to Gina Rowe since 1980. They have two children.",,,
926,Ashley Buccille,1986-01-30,Orange County,USA,,"Ashley Buccille was born on January 30, 1986 in Orange County, California, USA as Ashley Elizabeth Buccille. She is an actress, known for Phenomenon (1996), Dusting Cliff 7 (1997) and Baywatch Nights (1995).",Female,White,
2356,Ashley Greene,1987-02-21,Jacksonville,USA,65,"Ashley Michele Greene was born in Jacksonville, Florida to parents Michele (Tatum), an insurance broker, and Joseph Lacy Greene, US Marine who runs a concrete business. A self-confessed tomboy and ""daredevil"", Ashley loved to try to keep up with her older brother Joe, taking on activities such as taekwondo and winning several awards. Ashley says ...",Female,,8000000
1394,Ashley Johnson,1983-08-09,Camarillo,USA,65,"Ashley was born in Camarillo, California on August 9, 1983, to Cliff and Nancy Johnson. When she was 9 days old, her family packed up and moved to Michigan where her father was transferred (Ship captain of an exploration ship). They finally ended up moving to ""The Town That Time Forgot"" called Franklin. She lived there through most of her life, ...",,,3000000
1296,Ashley Judd,1968-04-19,Granada Hills,USA,67,"American actress and political activist Ashley Judd was born Ashley Tyler Ciminella on April 19, 1968, in Granada Hills, California. She grew up in a family of successful performing artists as the daughter of country music singer Naomi Judd and the sister of Wynonna Judd. While she is best known for an ongoing acting career spanning more than two ...",,,18000000
2128,Ashley Lilley,1986-01-29,Rothesay,UK,69,"Ashley Lilley was born on January 29, 1986 in Rothesay, Scotland as Ashley-Anne Lilley. She is an actress, known for Mamma Mia! (2008), Letters to Juliet (2010) and M.I.High (2007).",,,
1611,Asia Argento,1975-09-20,Rome,Italy,66,"Asia Argento was born in Rome, Italy, into a family of actors and filmmakers, both occupations which she has herself pursued. She made her debut when she was only nine years old in Sergio Citti's Sogni e bisogni (1985). In 1988 she had the leading role in Cristina Comencini's first film, Zoo (1988), and was part of the cast of The Church (1989), ...",,,1000000
1860,Assaf Cohen,1972-10-31,Mountain View,USA,61,"Originally from the San Francisco Bay Area, Assaf Cohen grew up in Palo Alto, lived for a number of years in the Middle East, and attended UC Berkeley where he earned a Bachelors degree in Integrative Biology. Later, he continued his classical training by earning a Master of Fine Arts in Acting from the Mason Gross School of the Arts at Rutgers ...",,,
2389,Astrid Berges-Frisbey,1986-05-26,Barcelona,Spain,67,"Astrid Berg�s-Frisbey was born the 26th May of 1986 in Barcelona, Spain to a Spanish Father and a French-American Mother of English descent. She is fluent in French, Spanish, and Catalan. Astrid Berg�s-Frisbey made her acting debut in 2007 on French television. In 2008, she made her feature debut in the French film The Sea Wall (2008) and since ...",,,
2003,Audrey Tautou,1976-08-09,Beaumont,France,63,"Audrey Justine Tautou was born on August 9, 1976 in Beaumont, France, to Evelyne Marie Laure (Nuret), a teacher, and Bernard Tautou, a dental surgeon. Audrey showed an interest for comedy at an early age and started her acting lessons at 'Cours Florent'. In 1998 she won the best young actress award in the ninth 'Jeune Comedien de Cinema Festival' ...",,,20000000
579,August Schellenberg,1936-07-25,Montreal,Canada,68,"August Schellenberg was born on July 25, 1936 in Montreal, Quebec, Canada as August Werner Schellenberg. He was an actor and director, known for Black Robe (1991), The New World (2005) and Free Willy (1993). He was married to Joan Karasevich. He died on August 15, 2013 in Dallas, Texas, USA.",Male,,
1817,Austin Nichols,1980-04-24,Ann Arbor,USA,75,"Austin Nichols was born in Ann Arbor, Michigan, and was raised in Austin, Texas until the age of eighteen, when he moved to Los Angeles to pursue a career in acting. He graduated from the University of Southern California in 2002 with a degree in creative writing. His role in Six Feet Under led to films like The Day After Tomorrow, Wimbledon, and ...",,,4000000
1719,Austin Pendleton,1940-03-27,Warren,USA,,"Actor Austin Pendleton was born March 27, 1940 in Warren, Ohio to Frances and Thorn Pendleton. He graduated from Yale University. He later became an ensemble member of the Steppenwolf Theater in Chicago, and acted in several of the theater's productions. His first film appearance in Petulia (1968), a minor and uncredited role. Since, he has made ...",,,4000000
2106,Ayush Mahesh Khedekar,2000-04-05,Mumbai,India,73,"Ayush Mahesh Khedekar is an actor, known for Slumdog Millionaire (2008), Marjaavaan (2019) and Gandhi of the Month (2014).",Male,Indian,
2105,Azharuddin Mohammed Ismail,1998-0-0,Mumbai,India,,"Azharuddin Mohammed Ismail was born in 1998 in Mumbai, India. He is an actor, known for Slumdog Millionaire (2008), Super 30 (2019) and The Shopkeeper (2010).",,,
2418,Aziz Ansari,1983-02-23,Columbia,USA,66,"Aziz Ansari was born in Columbia, South Carolina, to Fatima, a medical office worker, and Shoukath, a gastroenterologist. His family is from Tamil Nadu, India. He graduated from NYU as a business major in 2004. He graduated from the South Carolina Governor's School for Math and Science in Hartsville, SC. He previously attended Marlboro Academy, a ...",Male,,
373,Barbra Streisand,1942-04-24,Williamsburg,USA,65,"Barbra Streisand is an American singer, actress, director and producer and one of the most successful personalities in show business. She is the only person ever to receive all of the following: Oscar, Tony, Emmy, Grammy, Golden Globe, Cable Ace, National Endowment for the Arts, and Peabody awards, as well as the American Film Institutes Lifetime ...",Female,White,
641,Barnard Hughes,1915-07-16,Bedford Hills,USA,61,"Emmy and Tony Award-winner Barnard Hughes forged a career as one of American's most successful character actors, equally at home and successful on stage, the silver screen, and television. Most of his success came after middle-age. He made his Broadway debut in 1939 in Mary McCarthy's ""Please, Mrs. Garibaldi"", a flop that lasted only four ...",Male,White,
1184,Barry Pepper,1970-04-04,Campbell River,Canada,61,"Barry Robert Pepper was born on April 4, 1970, in Campbell River, British Columbia, Canada. He has two older brothers named Alex and Doug Pepper. The Peppers didn't stick around Campbell River for too long. They had been building a ship in their backyard for years. When Barry was five years old, the ship was done and the family set sail. The ship,...",,,10000000
1307,Bart Tangredi,1960-06-21,Islip,USA,,"Bart Tangredi was born on June 21, 1960 in Islip, New York, USA. He is known for his work on Analyze This (1999), Law Order (1990) and Analyze That (2002).",,,
2495,Basher Savage,,,,,"Basher Savage is an actor, known for Gravity (2013) and Marple (2004).",Male,,
332,BD Wong,1960-10-24,San Francisco,USA,64,"BD Wong was born and raised in San Francisco, California. He made his Broadway debut in ""M. Butterfly."" He is the only actor to be honored with the Tony Award, Drama Desk Award, Outer Critics Circle Award, Clarence Derwent Award, and Theater World Award for the same performance. He starred in the television series All-American Girl (1994), and has...",Male,Asian American,8000000
801,Beatrice Winde,1924-01-05,Chicago,USA,,"Beatrice Winde was born on January 5, 1924 in Chicago, Illinois, USA as Beatrice Lucille Williams. She was an actress, known for The Taking of Pelham One Two Three (1974), Lone Star (1996) and Malcolm X (1992). She was married to Raymond Stough. She died on January 3, 2004 in Manhattan, New York City, New York, USA.",,,
876,Bebe Neuwirth,1958-12-31,Princeton,USA,64,"Beatrice ""Bebe"" Neuwirth is the daughter of Sydney Anne, an artist, and Lee Paul Neuwirth, a mathematician. Born and raised in Princeton, New Jersey, she started out as a dancer. Her New York career started out in ""A Chorus Line"". She won a Tony Award for her part in ""Sweet Charity"" and two Emmy Awards for Outstanding Supporting Actress in a ...",,,10000000
2108,Bee Vang,1991-11-04,Fresno,USA,66,"Bee Vang was born on November 4, 1991 in Fresno, California, USA. He is an actor and writer, known for Gran Torino (2008), Sunset on Dawn/Kho Neeg and Our New President (2018).",,,100000
1015,Ben Affleck,1972-08-15,Berkeley,USA,75,"American actor and filmmaker Benjamin G�za Affleck-Boldt was born on August 15, 1972 in Berkeley, California, and was raised in Cambridge, Massachusetts. His mother, Chris Anne (n�e Boldt), is a school teacher, and his father, Timothy Byers Affleck, is a social worker; the two are divorced. Ben has a younger brother, actor Casey Affleck, who was ...",,,150000000
2178,Ben Barnes,1981-08-20,London,UK,73,"British actor Benjamin Thomas Barnes was born in London, England, to Patricia (Becker), a relationship therapist, and Thomas Barnes, a professor of psychiatry. He has a brother, Jack. His mother is from South Africa while his father is English. Barnes studied at Homefield Preparatory and King's College, both independent all boys' schools. He began ...",,,2000000
592,Ben Kingsley,1943-12-31,Scarborough,UK,68,"Ben Kingsley was born Krishna Bhanji on December 31, 1943 in Scarborough, Yorkshire, England. His father, Rahimtulla Harji Bhanji, was a Kenyan-born medical doctor, of Gujarati Indian descent, and his mother, Anna Lyna Mary (Goodman), was an English actress. Ben began to act in stage plays during the 1960s. He soon became a successful stage actor,...",Male,,60000000
2548,Ben Reed,1965-05-01,Bixby,USA,,"Ben Reed was born on May 1, 1965 in Bixby, Oklahoma, USA as Benjamin Lee Reed. He is an actor and producer, known for American Sniper (2014), Starcrossed (2014) and The Greatest Showman (2017).",Male,,
844,Ben Stein,1944-11-25,Washington,USA,61,"Ben Stein (Benjamin J. Stein) was born on Nov. 25, 1944 in Washington, D.C. The son of noted economist and writer Herbert Stein, he grew up in Silver Spring, Md., and attended Montgomery Blair High School. Some of his classmates included journalist Carl Bernstein, and actors Goldie Hawn and Sylvester Stallone. He graduated from Columbia University...",,,
1123,Ben Stiller,1965-11-30,New York City,USA,67,"Benjamin Edward Meara Stiller was born on November 30, 1965, in New York City, New York, to legendary comedians Jerry Stiller and Anne Meara. His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish Catholic descent (she converted to Judaism). His parents made no real effort to keep their son away from the Hollywood ...",,,200000000
2445,Ben Whishaw,1980-10-14,Clifton,UK,69,"Proclaimed by many critics as one of the best young actors of his generation, Benjamin John Whishaw was born in Clifton, Bedfordshire, to Linda (Hope), who works in cosmetics, and Jose Whishaw, who works in information technology. He has a twin brother, James. He is of French, German, Russian (father) and English (mother) descent. Ben attended ...",,,2000000
2514,Benedict Cumberbatch,1976-07-19,Hammersmith,UK,72,"Benedict Timothy Carlton Cumberbatch was born and raised in London, England. His parents, Wanda Ventham and Timothy Carlton (born Timothy Carlton Congdon Cumberbatch), are both actors. He is a grandson of submarine commander Henry Carlton Cumberbatch, and a great-grandson of diplomat Henry Arnold Cumberbatch CMG. Cumberbatch attended Brambletye ...",Male,,40000000
1373,Benicio Del Toro,1967-02-19,San Germ�n,Puerto Rico,74,"Benicio Del Toro emerged in the mid-1990s as one of the most watchable and charismatic character actors to come along in years. A favorite of film buffs, Del Toro gained mainstream public attention as the conflicted but basically honest Mexican policeman in Steven Soderbergh's Traffic (2000). Benicio was born on February 19, 1967 in San Germ�n, ...",,,45000000
673,Benjamin Bratt,1963-12-16,San Francisco,USA,73,"The middle of five children, Bratt hails from a close-knit family. His mother, an indigenous Quechua Peruvian from Lima, moved to the U.S. at age 14. He grew up in San Francisco. He is known for his roles in the films Traffic (2000), Miss Congeniality (2000), and Despicable Me 2 (2013). He is married to actress Talisa Soto.",,,12000000
245,Benjamin Mouton,1965-03-13,Lafayette,USA,,"Benjamin Mouton was born and raised in Lafayette, Louisiana. After receiving his degree in English from the University Of S.W. Louisiana, he went to New York to study acting at the respected American Academy of Dramatic Arts, where he received the prestigious Jehlinger Award in 1984. In 1997 he was nominated for Best Supporting Actor at the Lone ...",Male,White,
1297,Benjamin Weir,,,,,"Benjamin Weir is an actor, known for Double Jeopardy (1999).",,,
2444,Berenice Marlohe,1979-05-19,Paris,France,69,"French actress B�r�nice Marlohe first came to international attention when she was cast as the glamorous and enigmatic Severin in the twenty-third Bond film Skyfall (2012), alongside Daniel Craig which grossed over 1.11 billion dollars worldwide. Marlohe will continue to expand her presence in the states on the silver screen. In 2015 starred in ...",,,
1120,Bernard Hill,1944-12-17,Manchester,UK,69,"Bernard Hill was born on December 17, 1944 in Manchester, England. He is known for his work on The Lord of the Rings: The Return of the King (2003), The Lord of the Rings: The Two Towers (2002) and Titanic (1997). He is married to Marianne. They have one child.",,,
260,Bernie Casey,1939-06-08,Wyco,USA,76,"Bernie Casey was born on June 8, 1939 in Wyco, West Virginia, USA as Bernard Terry Casey. He was an actor and director, known for Bill Ted's Excellent Adventure (1989), Revenge of the Nerds (1984) and Never Say Never Again (1983). He was married to Paula. He died on September 19, 2017 in Los Angeles, California, USA.",Male,African American,
1506,Bernie Mac,1957-10-05,Chicago,USA,74,"Bernard Jeffrey McCollough was born in 1957 in Chicago, the son of Mary McCullough and Jeffery Harrison. He grew up in the city, in a rougher neighborhood than most others, with a large family living under one roof. This situation provided him with a great insight into his comedy, as his family, and the situations surrounding them would be what ...",Male,,
721,Beth Grant,1949-09-18,Gadsden,USA,66,"Raised in the South, Beth Grant moved frequently as a child and enjoys claiming several towns and cities in Alabama, Georgia, and North Carolina as home. She was a Page in the North Carolina Senate, attended the North Carolina Governor's School for Gifted and Talented students, and received a governor's appointment at the age of nineteen. Grant was...",,,
905,Bette Midler,1945-12-01,Honolulu,USA,61,"Multi Grammy Award-winning singer/comedienne/author Bette Midler has also proven herself to be a very capable actress in a string of both dramatic and comedic roles. Midler was born in Honolulu, Hawaii, on December 1, 1945. She is the daughter of Ruth (Schindel), a seamstress, and Fred Midler, a painter. Her parents, originally from New Jersey, ...",Female,White,
2200,Betty White,1922-01-17,Oak Park,USA,64,"Betty White was born in Oak Park, Illinois, to Christine Tess (Cachikis), a homemaker, and Horace Logan White, a lighting company executive for the Crouse-Hinds Electric Company. She is of Danish, Greek, English, and Welsh descent. Although best known as the devious Sue Ann Nivens on the classic sitcom The Mary Tyler Moore Show (1970) and the ditzy...",Female,,75000000
90,Beverly D'Angelo,1951-11-15,Colombus,USA,62,,Female,White,20000000
1599,Beyonc,1981-09-04,Houston,USA,66,"Beyonc� was born raised in Houston, Texas. Her mom, Tina Lawson designs their glittering costumes her dad, Mathew Knowles manages Destiny's Child. Solange, her sister (they're 4 years apart) has released her debut album. She dances with her big sister during DC-3 concerts. Beyonc�'s of Louisiana Creole African descent. She and her group were ...",,,
461,Bill Cobbs,1934-06-16,Cleveland,USA,73,"Bill Cobbs was born and raised in Cleveland, Ohio, where his parents were hard-working people, who instilled in him a sense of self-reliance and humility. As an amateur actor in the city's Karamu House Theater, he starred in the Ossie Davis play ""Purlie Victorious"". Cobbs was an Air Force radar technician for eight years; he also worked in office ...",Male,,4000000
192,Bill Duke,1943-02-26,Poughkeepsie,USA,76,"Duke Media Entertainment, led by actor, director, producer, writer and humanitarian, Bill Duke, is dedicated to bringing quality Edutainment to audiences around the globe. Formerly Yagya Productions, Duke Media has successfully produced critically acclaimed film and television content for more than 30 years. Additionally, Duke Media is in process ...",Male,African American,3000000
1001,Bill Fagerbakke,1957-10-04,Fontana,USA,78,"Bill Fagerbakke was born on October 4, 1957 in Fontana, California, USA as William Mark Fagerbakke. He is an actor, known for The SpongeBob Movie: Sponge Out of Water (2015), SpongeBob SquarePants (1999) and The SpongeBob SquarePants Movie (2004). He has been married to Catherine McClenahan since 1989. They have two children.",,,10000000
1893,Bill Goldberg,1966-12-27,Tulsa,USA,74,"Bill Goldberg was born on December 27, 1966 in Tulsa, Oklahoma, USA as William Scott Goldberg. He is an actor and producer, known for The Longest Yard (2005), Universal Soldier: The Return (1999) and American Satan (2017). He has been married to Wanda Ferraton since April 10, 2005. They have one child.",,,
2216,Bill Hader,1978-06-07,Tulsa,USA,73,"Bill Hader was born on June 7, 1978 in Tulsa, Oklahoma, USA. He is an actor and writer, known for The Skeleton Twins (2014), Inside Out (2015) and Trainwreck (2015). He was previously married to Maggie Carey.",Male,,
1446,Bill Irwin,1950-04-11,Santa Monica,USA,61,"Bill Irwin was born on April 11, 1950, in Santa Monica, California, to Elizabeth (Mills), a teacher, and Horace G. Irwin, an aerospace engineer. He is the oldest of three children, and is of English, Irish, and German descent. Irwin spent a year in Belfast, Northern Ireland, as an exchange student. He is a graduate in theatre arts from Oberlin ...",,,
115,Bill Murray,1950-09-21,Wilmette,USA,73,"Bill Murray is an American actor, comedian, and writer. The fifth of nine children, he was born William James Murray in Wilmette, Illinois, to Lucille (Collins), a mailroom clerk, and Edward Joseph Murray II, who sold lumber. He is of Irish descent. Among his siblings are actors Brian Doyle-Murray, Joel Murray, and John Murray. He and most of his ...",Male,White,
2018,Bill Nighy,1949-12-12,Caterham,UK,72,"Bill Nighy is an award-winning British character actor. He was born William Francis Nighy on December 12, 1949 in Caterham, Surrey, England, to Catherine Josephine (Whittaker), a psychiatric nurse from Glasgow, and Alfred Martin Nighy, who was English-born and managed a garage in Croydon. At school, he gained 'O'-levels in English Language and ...",,,8000000
489,Bill Nunn,1953-10-20,Pittsburgh,USA,75,"Commanding performer Bill Nunn made his feature debut in fellow Morehouse College graduate Spike Lee's School Daze (1988), but really etched himself into moviegoers' minds as a formidable screen presence in his second film with Lee, Do the Right Thing (1989), playing Radio Raheem, whose ever-present boom box is at the center of a fight that leads ...",Male,,1500000
608,Bill Paxton,1955-05-17,Fort Worth,USA,72,"Bill Paxton was born on May 17, 1955 in Fort Worth, Texas. He was the son of Mary Lou (Gray) and John Lane Paxton, a businessman and actor (as John Paxton). Bill moved to Los Angeles, California at age eighteen, where he found work in the film industry as a set dresser for Roger Corman's New World Pictures. He made his film debut in the Corman ...",Male,White,25000000
589,Bill Pullman,1953-12-17,Hornell,USA,73,"William James Pullman was born in Hornell, New York, one of seven children of Johanna (Blaas), a nurse, and James Pullman, a doctor. He is of Dutch (mother) and English, Northern Irish, and Scottish (father) descent. After high school, Bill went into a building construction program at SUNY Delhi in New York. He transferred to State University of ...",Male,,18000000
2149,Bill Smitrovich,1947-05-16,Bridgeport,USA,72,"Connecticut-born actor Bill Smitrovich (on May 16, 1947) started his acting career rather late. A Masters degree holder from Smith College and a former acting teacher at the University of Massachusetts, the hefty actor earned his big break in an understudy role in the world premiere of Arthur Miller's ""The American Clock"" at the Spoleto Festival, a...",,,
637,Billy Bob Thornton,1955-08-04,Hot Springs,USA,61,"Billy Bob Thornton was born on August 4, 1955 in Hot Springs, Arkansas, to Virginia Roberta (Faulkner), a psychic, and William Raymond (Billy Ray) Thornton, an educator, high school history teacher, and basketball coach (now deceased). He is the older brother of James Donald (Jimmy Don) (born in 1958 and now deceased) and John David (born in 1969)...",Male,White,45000000
1529,Billy Boyd,1968-08-28,Glasgow,UK,66,"Billy Boyd was born in 1968 in Glasgow, Scotland, to Mary and William Boyd. The talented young boy, inspired by Star Wars to try acting, got his first taste of it in his school's production of Oliver Twist when he was 10. Boyd's parents were extremely supportive, driving over two hours to get him to the performances, but sadly they passed away when...",,,6000000
2117,Billy Burke,1966-11-25,Everett,USA,74,"Billy Burke was born and raised in Bellingham, Washington, USA. He began singing at age nine, and joined a band at age fifteen. He continued to work with bands and study/performing drama at Western Washington University. He performed in Seattle at the Annex Theater, New City Festival, and the A.H.A. Theater, though it was as a musician, not an ...",,,5000000
540,Billy Campbell,1959-07-07,Charlottesville,USA,75,"Billy Campbell can currently be seen on the CTV/HULU television series, ""Cardinal"" This year Billy won a Canadian Screen Award for Best Actor in ""Cardinal"" for the second year in a row as well as nominated for a 2018 International Emmy Award for Best Actor in a series. He is also known for his work as a co-lead in the critically acclaimed AMC ...",Male,White,2500000
639,Billy Connolly,1942-11-24,Anderston,UK,72,"Billy Connolly was born and raised in Glasgow, Scotland. He left school to work in the shipyards becoming a welder and joined the Territorial Army (in the parachute regiment) at around the same time. He developed an interest in folk music, eventually becoming an accomplished banjo player and a member of the band Humblebums with Gerry Rafferty (...",Male,White,
2006,Billy Crudup,1968-07-08,Manhasset,USA,68,"Known as much for his rigorous career choices as for his talent and chiseled good looks, Billy Crudup has been straddling the line between serious actor and ""it"" leading man for several years. Crudup was born in 1968 in Manhasset, New York (a Long Island suburb), the middle child in a family of three boys. He is the son of Georgann (Gaither) and ...",,,8000000
44,Billy Crystal,1948-03-14,Yorkville,USA,67,"Billy Crystal was born on March 14, 1948 in Long Beach, Long Island, New York. He is the youngest of three sons born to Helen (Gabler) and Jack Crystal. His father was a well-known concert promoter who co-founded Commodore Records and his mother was a homemaker. His family were Jewish immigrants from Russia, Austria, and Lithuania. With his father...",Male,White,
111,Billy Dee Williams,1937-04-06,New York City,USA,72,"Billy Dee Williams was born William December Williams on April 6, 1937 in New York City. Billy Dee has notched up an impressive array of film and television appearances over the past 50+ years. He is easily best known to international film audiences as the roguish Lando Calrissian in the last two episodes of the original Star Wars trilogy: Star ...",Male,African American,9000000
139,Billy Zane,1966-02-24,Chicago,USA,72,"William George Zane, better known as Billy Zane, was born on February 24, 1966 in Chicago, Illinois, to Thalia (Colovos) and William Zane, both of Greek ancestry. His parents were amateur actors and managed a medical technical school. Billy has an older sister, actress and singer Lisa Zane. Billy was bitten by the acting bug early on. In his early...",Male,White,20000000
436,Birdy Sweeney,1931-06-14,Dungannon,UK,,Birdy Sweeney began acting when he was in his 50s having spent much of his earlier life as a comic and bird impersonator. He won his distinctive nickname while still a schoolboy making his debut mimicking blackbirds as an 11-year-old on BBC Radio Ulster. Sweeney had a heart attack when he was only 40 and suffered from diabetes throughout his life....,Male,,
526,Bitty Schram,1968-07-17,New York City,USA,64,"Born in New York City, Schram attended the University of Maryland on a tennis scholarship. She is best known for her role as Adrian Monk's original personal assistant, Sharona Fleming, on the TV series, Monk (2002). She is also known for her film debut role as ""Evelyn Gardner"", the sobbing right-fielder who was reminded by Tom Hanks that ""There's ...",Female,White,2500000
1175,Blair Slater,1985-07-15,British Columbia,Canada,71,"Blair Slater was born in British Columbia, Canada. He is an actor, known for Reindeer Games (2000), The Truman Show (1998) and Goosebumps (1995).",Male,,
1134,Blake Clark,1946-02-02,Macon,USA,72,"For the last 20 or so years, Clark has been doing stand-up comedy on the club circuit, on ""The Tonight Show"", on HBO comedy specials, on Late Night with David Letterman (1982) and Late Night with Conan O'Brien (1993). In addition, he has been in over 50 feature motion pictures and hundreds of episodic TV shows. A decorated Infantry Platoon Leader ...",,,5000000
374,Blythe Danner,1943-02-03,Philadelphia,USA,67,"Blythe Danner was born in Philadelphia, Pennsylvania, to Katharine (Kile) and Harry Earl Danner, a bank executive. She has German, as well as English and Irish, ancestry. Danner studied acting and got her degree from Bard College and began her career in Boston theater companies. By 25, she won the Theater World Award for her work in Moli�re's ""The...",Female,White,45000000
1236,Bob Griffin,1902-07-31,Hutchinson,USA,,"Robert Griffin was born on July 31, 1902 in Hutchinson, Kansas, USA. He was an actor, known for I Was a Teenage Werewolf (1957), Serpent of the Nile (1953) and Gunsight Ridge (1957). He was married to Margaret Fuller. He died on December 19, 1960 in Los Angeles, California, USA.",,,
674,Bob Gunton,1945-11-15,Santa Monica,USA,73,"Bob Gunton was born on November 15, 1945 in Santa Monica, California, USA as Robert Patrick Gunton Jr. He is an actor, known for The Shawshank Redemption (1994), Daredevil (2015) and Mountain Top (2017). He has been married to Carey Pitts since August 26, 2006. He was previously married to Annie McGreevey.",,,3000000
411,Bob Hoskins,1942-10-26,Bury St. Edmunds,UK,66,"Bob Hoskins was described by the director John Mackenzie as ""an actor from the British tradition but with an almost American approach, an instinctive approach to acting and knowing how to work with the camera"". He was born on October 26, 1942, in Bury St. Edmund's, Suffolk, where his mother was living after being evacuated as a result of the heavy...",Male,,3000000
837,Bob Mack,,,,,"Bob Mack is known for his work on Se7en (1995), Austin Powers: The Spy Who Shagged Me (1999) and The Haunted Sea (1997).",,,
1667,Bob Newhart,1929-09-05,Oak Park,USA,66,"Bob Newhart is an American actor and stand-up comedian. His comedic style involves deadpan delivery of dialogue, a slight stammer when talking, and comedic monologues. He has cited earlier comedians George Gobel (1919-1991), Ray Goulding (1920-1990), and Bob Elliott (1923-2016) as his main influences in developing his comedy style. In 1929, Newhart...",,,65000000
758,Bob Penny,1935-06-29,Anniston,USA,66,"Bob Penny is an actor, known for Forrest Gump (1994), Mississippi Burning (1988) and Sweet Home Alabama (2002).",Male,,6000000
1545,Bob Peterson,1961-01-09,Wooster,USA,74,"Bob Peterson was born in Wooster, Ohio, USA, in 1961. He studied mechanical engineering at Ohio Northern University, where he took computer graphics courses and graduated in 1983. He continued his studies in mechanical engineering at Purdue University where he earned a master's degree in 1986. While a student, he wrote and drew a cartoon strip ...",,,
1895,Bob Sapp,1973-09-22,Colorado Springs,USA,76,"Robert Malcolm ""Bob"" Sapp born September 22, 1973] is an American professional wrestler, actor, comedian and former American football player best known for his career as a kick boxer and mixed martial artist. He is under contract with Rizin Fighting Federation. Sapp has a combined fight record of 22-35-1, mostly fighting in Japan. He is well known...",,,
1486,Bobby Block,1991-08-12,St Louis,USA,,"Bobby Block is known for his work on Shrek (2001), The Polar Express (2004) and Finding Nemo (2003).",Male,White,
2186,Bobby Cannavale,1970-05-03,Union City,USA,74,"In both career and in real life, Bobby Cannavale tends to choose the unconventional way of doing things. In the beginning, his decisions may have cost the dark, swarthily good-looking actor some acting roles and/or good-paying money but, in the end, his strong work ethic and sense of self, despite a lack of formal training, allowed him to take a ...",Male,,10000000
1094,Bobcat Goldthwait,1962-05-26,Syracuse,USA,67,"Robert Francis 'Bobcat' Goldthwait, born May 26, 1962, is an American comedian, and writer, producer, director, and star of films and television shows. He is most widely known for his at times screechy voice and scattergun delivery during his standup comedy performances and some film roles. He was born in Syracuse, New York in 1962. He decided on a...",,,
225,Bonnie Bedelia,1948-03-25,New York City,USA,64,"The native New Yorker was born Bonnie Bedelia Culkin on March 25, 1948, the daughter of Phillip Harley Culkin, a journalist, and Marian Ethel Wagner Culkin, a writer and editor. Trained in ballet, her parents guided all of the children at one time or another into acting (which included Christopher (Kit), Terry and Candace Culkin). Bonnie herself ...",Female,White,2000000
875,Bonnie Hunt,1961-09-22,Chicago,USA,68,"Bonnie Hunt was born on September 22, 1961 in Chicago, Illinois, USA as Bonnie Lynn Hunt. She is a producer and writer, known for Jumanji (1995), The Green Mile (1999) and Return to Me (2000). She was previously married to John Murphy.",,,10000000
